timestamp,stdout,stderr,rtt
2024-06-09 15:56:18,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=595 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=504 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=491 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=36.1 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3094ms
rtt min/avg/max/mdev = 36.133/406.527/595.320/217.601 ms
",,406.525
2024-06-09 15:56:26,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=632 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=534 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=4.22 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=3.37 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3080ms
rtt min/avg/max/mdev = 3.371/293.345/632.201/291.640 ms
",,293.3975
2024-06-09 15:56:33,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=40.0 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=154 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=43.4 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 3 received, 25% packet loss, time 3031ms
rtt min/avg/max/mdev = 40.018/79.209/154.198/53.043 ms
",,79.13333333333334
2024-06-09 15:56:41,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=139 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=175 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=5.15 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=21.9 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3030ms
rtt min/avg/max/mdev = 5.149/85.225/174.877/73.045 ms
",,85.26249999999999
2024-06-09 15:56:48,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.

--- 10.0.04 ping statistics ---
4 packets transmitted, 0 received, 100% packet loss, time 3082ms

",,-1.0
2024-06-09 15:56:59,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.

--- 10.0.04 ping statistics ---
4 packets transmitted, 0 received, 100% packet loss, time 3101ms

",,-1.0
2024-06-09 15:57:10,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=70.3 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=5.22 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=5.43 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=235 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3010ms
rtt min/avg/max/mdev = 5.222/78.903/234.688/93.769 ms
",,78.9875
2024-06-09 15:57:17,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=25.9 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=7.29 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=204 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=78.1 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3065ms
rtt min/avg/max/mdev = 7.293/78.930/204.461/76.985 ms
",,78.82249999999999
2024-06-09 15:57:24,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=43.7 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=65.5 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=92.1 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=45.0 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3034ms
rtt min/avg/max/mdev = 43.720/61.575/92.134/19.648 ms
",,61.575
2024-06-09 15:57:31,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=3.75 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=36.7 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=31.3 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=60.4 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3014ms
rtt min/avg/max/mdev = 3.752/33.033/60.389/20.139 ms
",,33.0375
2024-06-09 15:57:39,"PING 10.0.04 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=3.80 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=3.66 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=84.2 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=4.34 ms

--- 10.0.04 ping statistics ---
4 packets transmitted, 4 received, 0% packet loss, time 3031ms
rtt min/avg/max/mdev = 3.657/24.009/84.242/34.776 ms
",,24.0
